content_id, title                 , platform    , content_type    , genre      , language  , country       , age_rating, release_year, release_month, seasons, episodes, runtime_min, imdb_score, rotten_tomatoes_pct, audience_score_pct, monthly_views_millions, avg_watch_time_min, completion_rate_pct, rewatches, subscribers_gained, subscribers_lost, revenue_usd_millions, production_cost_usd_millions, primary_device, subscription_plan, resolution, user_reviews, likes  , shares, available_in_countries, subtitles_available, dubbed_languages, is_original, is_award_winning, is_trending
         1, Backlash 4            , Hulu        , Series          , Action     , Spanish   , Australia     , PG        ,         2024,             7,       1,        6,          27,        5.2,                  84,                 33,                  53.36,               23.6,                74.7,         3,             115574,            58878,                29.48,                       161.98, Smart TV      , Basic            , 4K        ,       178439,  582838,  81526,                     60,                  22,                3, Yes        , No              , Yes
         2, Deadlock              , HBO Max     , Movie           , Biography  , Italian   , Brazil        , PG        ,         2021,             2,        ,         ,         145,        5.6,                  99,                 76,                  54.89,              106.6,                23.6,         1,             405310,            37930,                49.26,                       171.14, Smart TV      , Standard         , Full HD   ,       237767, 1333226, 437324,                     98,                  11,               11, No         , Yes             , No
         3, Overload              , Amazon Prime, Stand-Up Special, Fantasy    , French    , Brazil        , R         ,         2017,             8,        ,         ,         123,        5.5,                  91,                 58,                  65.07,              106.0,                80.5,         1,             430861,             4207,                40.26,                        80.53, Smart TV      , Basic            , Full HD   ,       111527, 1374654, 261750,                    106,                  30,                4, No         , Yes             , Yes
         4, Nexus                 , HBO Max     , Stand-Up Special, Sci-Fi     , Mandarin  , Germany       , TV-14     ,         2018,             3,        ,         ,         140,        6.7,                  26,                 44,                  14.6 ,               35.0,                73.1,         4,              33306,            50432,                19.11,                       199.23, Desktop       , Standard         , SD        ,       356714, 1511563,  60068,                    179,                  35,                8, No         , Yes             , No
         5, Crossfire 2           , HBO Max     , Stand-Up Special, Action     , Portuguese, United Kingdom, TV-MA     ,         2023,            10,        ,         ,         100,        4.8,                  40,                 99,                  90.59,               93.4,                91.6,         4,             169951,            64042,                 1.02,                       185.86, Tablet        , Basic            , SD        ,       126336, 1841419, 297468,                     25,                   6,               15, Yes        , Yes             , Yes
         6, Flashback             , Disney+     , Mini-Series     , Animation  , Mandarin  , Germany       , R         ,         2023,            12,       1,        8,          36,        7.9,                  71,                 77,                  41.68,               25.9,                29.4,         1,              33568,            44313,                 1.1 ,                       111.01, Desktop       , Basic            , SD        ,        37270, 1484550, 330889,                     20,                  15,                2, Yes        , No              , Yes
         7, The Pursuit of Truth  , Paramount+  , Series          , Animation  , French    , Mexico        , TV-G      ,         2018,             8,       7,       84,          28,        4.5,                  75,                 75,                  40.3 ,               21.1,                76.9,         5,             342598,            84696,                 4.97,                        80.82, Tablet        , Basic            , HD        ,       100498,  398996, 281178,                    119,                   9,               13, Yes        , No              , No
         8, The Verdict           , Amazon Prime, Documentary     , Animation  , Spanish   , United States , G         ,         2016,             4,       1,        7,         107,        6.6,                  71,                 37,                  15.72,               15.2,                50.5,         3,             149552,            55444,                34.84,                       146.24, Desktop       , Premium          , 4K        ,        81208,  398344, 155570,                     60,                   4,                1, No         , Yes             , Yes
         9, Deadfall              , Disney+     , Movie           , Animation  , Spanish   , India         , PG        ,         2024,             2,        ,         ,         161,        8.7,                  71,                 45,                  89.46,               98.2,                65.2,         0,             324734,            10745,                20.99,                       116.94, Desktop       , Standard         , Full HD   ,       107140, 1404617, 375500,                     85,                  16,                8, No         , Yes             , No
        10, Darkroom Files        , Amazon Prime, Movie           , Documentary, Mandarin  , Canada        , PG        ,         2016,             9,        ,         ,         102,        6.8,                  36,                 74,                  83.69,               91.5,                48.8,         1,             229734,            71200,                35.19,                       122.53, Gaming Console, Premium          , SD        ,       350202, 1713691, 290781,                     81,                   7,                4, No         , Yes             , Yes
